lotto;contratto;committente;rl;dl;cse
A1_lotto12;LOTTO 12: Accordo Quadro n. 81029814 Tender_67587...;Autostrade per l’Italia S.p.A....;RL: Ing. Giuseppe D’Elia...;DL & CSE: Ing. Luca Bari...;
A11_lotto10;LOTTO 10: Accordo Quadro per il servizio...;Autostrade per l’Italia S.p.A....;RL: Ing. Giuseppe D’Elia...;DL: Ing. Fabrizio Braconi...;CSE: Ing. Fabrizio Braconi...
